종목명,시장,시가총액,배당률,부채율,PBR,PBR순위,GP/A,GP/A순위,종합점수
동원F&B,KOSPI,6252,0.108,1.34,0.14,17,0.42,357,374
매일홀딩스,KOSDAQ,1192,0.0173,0.9,0.32,248,0.5,251,499
스카이라이프,KOSPI,3400,0.0492,0.59,0.41,439,0.76,79,518
대현,KOSPI,981,0.0497,0.23,0.4,424,0.63,157,581
비상교육,KOSPI,728,,0.57,0.35,299,0.47,285,584
LF,KOSPI,5105,0.0401,0.56,0.34,283,0.45,315,598
비비안,KOSPI,399,,1.08,0.41,454,0.59,177,631
한섬,KOSPI,6256,0.0295,0.26,0.42,465,0.56,193,658
슈피겐코리아,KOSDAQ,1980,0.0176,0.12,0.45,548,0.64,149,697
KTis,KOSPI,1128,0.037,1.01,0.5,702,1.35,5,707
롯데하이마트,KOSPI,2689,,0.9,0.2,54,0.31,671,725
현대홈쇼핑,KOSPI,5898,0.0529,0.42,0.29,172,0.33,563,735
KT,KOSPI,80292,0.0637,1.23,0.47,610,0.63,159,769
LG헬로비전,KOSPI,3214,,1.28,0.51,732,0.75,83,815
패션플랫폼,KOSDAQ,377,,0.44,0.54,801,0.75,81,882
영원무역홀딩스,KOSPI,8999,0.0462,0.38,0.37,349,0.34,539,888
엑세스바이오,KOSDAQ,3428,0.0872,0.41,0.55,852,0.88,43,895
현대백화점,KOSPI,12263,0.0248,0.9,0.25,97,0.28,837,934
신영와코루,KOSPI,1014,0.0133,0.17,0.28,154,0.29,781,935
F&F홀딩스,KOSPI,8507,0.0161,0.24,0.41,452,0.36,499,951
AJ네트웍스,KOSPI,2180,,3.09,0.58,920,0.82,61,981
HMM,KOSPI,98052,0.0599,0.26,0.47,610,0.4,383,993
한세예스24홀딩스,KOSPI,1856,0.0539,1.45,0.44,504,0.35,505,1009
윙입푸드,KOSDAQ,480,,0.23,0.29,164,0.27,847,1011
NHN,KOSPI,9800,,0.52,0.57,898,0.7,117,1015
신원,KOSPI,1541,,1.26,0.52,755,0.47,287,1042
NICE,KOSPI,4849,0.032,1.56,0.6,993,0.81,63,1056
LG유플러스,KOSPI,48769,0.0582,1.34,0.59,951,0.7,111,1062
이마트,KOSPI,27653,0.0202,1.46,0.24,82,0.25,987,1069
대상홀딩스,KOSPI,2825,0.0346,1.58,0.39,400,0.3,731,1131
세종텔레콤,KOSDAQ,1623,,0.37,0.52,745,0.4,387,1132
TBH글로벌,KOSPI,403,,0.87,0.67,1138,1.05,25,1163
크라운해태홀딩스,KOSPI,934,0.0159,1.23,0.32,237,0.26,943,1180
신세계,KOSPI,20626,,1.3,0.5,694,0.35,501,1195
안국약품,KOSDAQ,1089,,0.45,0.61,1027,0.56,189,1216
하이트진로홀딩스,KOSPI,2219,0.0523,2.39,0.37,350,0.27,871,1221
메디앙스,KOSDAQ,379,,0.44,0.45,535,0.3,697,1232
태평양물산,KOSPI,756,,2.58,0.36,318,0.26,937,1255
