,종목명,시가총액(억 원),부채율(%),배당률(%),PBR,GP/A
089470,HDC현대EP,1658,92.47,3.03,0.39,13.890270180672964
016710,대성홀딩스,3869,130.05,0.23,3.68,10.385969956156114
038070,서린바이오,1076,52.97,1.09,1.16,0.17568569310600446
044960,이글벳,893,27.73,0.73,1.53,0.26958105646630237
278280,천보,18540,107.34,0.23,6.29,0.07939416147550996
318010,팜스빌,716,19.42,0.92,1.36,0.21122994652406418
017650,대림제지,788,20.46,1.14,0.32,0.14352941176470588
094970,제이엠티,657,33.62,4.86,0.5,0.21330441070137382
104700,한국철강,2946,18.68,4.93,0.31,17.417705337168425
014830,유니드,4148,65.19,2.46,0.61,19.290942053313636
173130,오파스넷,1711,237.66,0.59,2.78,0.2162615255658005
049800,우진플라임,719,177.52,1.42,0.69,26.68302945301543
023350,한국종합기술,718,123.59,1.49,0.49,10.76044484520589
017890,한국알콜,2253,24.31,0.51,0.47,0.09690189328743545
121440,골프존뉴딘홀딩스,2193,47.21,3.54,0.29,0.20331086439333862
071840,롯데하이마트,2750,90.24,2.45,0.22,30.78889700511322
213500,한솔제지,2703,197.63,5.28,0.42,25.904977375565615
006890,태경케미컬,1595,13.61,1.86,0.84,13.918757467144562
072990,에이치시티,529,73.94,0.0,0.76,0.19607843137254902
148250,알엔투테크놀로지,564,42.46,0.31,1.59,0.17073170731707318
004170,신세계,20182,129.51,1.7,0.53,35.44088539488723
115500,케이씨에스,994,113.57,2.67,3.44,0.09743589743589744
005090,SGC에너지,4241,252.5,5.49,0.63,9.595992666317443
058610,에스피지,7096,65.97,1.16,1.79,0.2156364662715213
009410,태영건설,1567,483.55,5.58,0.21,5.979228829829066
007590,동방아그로,864,43.56,3.96,0.55,18.198614318706696
041510,에스엠,25356,65.1,1.56,2.6,0.20170881749829117
112290,와이씨켐,1232,71.86,0.87,1.71,0.17571059431524547
001130,대한제분,2382,43.41,1.89,0.24,17.30885922330097
012330,현대모비스,212141,46.55,2.0,0.49,10.80591336426822
038540,상상인,2755,642.17,1.63,0.47,0.02494406626362641
000430,대원강업,2976,68.96,2.95,0.43,8.71931908155186
014710,사조씨푸드,962,46.64,0.88,0.33,6.814941545480467
008730,율촌화학,9213,95.66,0.69,2.71,6.124636349716735
271980,제일약품,2873,193.64,0.24,1.9,34.31823156051653
002810,삼영무역,2485,21.91,4.82,0.49,7.978212111502724
041440,현대에버다임,1284,63.39,0.85,0.82,0.17789941840574752
029960,코엔텍,3590,22.13,6.56,2.11,0.25456292026897215
019770,서연탑메탈,520,71.99,1.13,0.61,0.06646525679758308
009460,한창제지,820,156.33,1.5,0.72,9.325326739667963
043150,바텍,5785,40.63,0.3,1.39,0.40148698884758366
170030,현대공업,1389,51.28,2.75,0.67,0.12445520581113802
000700,유수홀딩스,1731,17.78,6.25,0.47,18.04153172032768
009770,삼정펄프,624,9.23,3.92,0.3,6.832831972496776
009150,삼성전기,101508,42.94,1.61,1.32,20.57978394500418
107590,미원홀딩스,2331,89.57,0.64,1.15,11.46326404610002
101530,해태제과식품,1694,172.29,3.03,0.65,27.469984087950237
